commenterID,commentBody,date_posted
UCSS9bLIvJXuNYqBaN7hsEzA,i have nolan cape in real life,2026-03-24T14:23:11Z,0
UCu9SnhQ5jnfx0vtBhM-B-zQ,Chandler is best,2026-03-24T14:23:09Z,0
UCAP93o_q4cUQc7xSnwK5rkg,Spoort from india,2026-03-24T14:23:05Z,0
UCcVerMzxnZ1MhXkzgnZo8sQ,Tiday is my birthady🎉 0 like😢😢,2026-03-24T14:23:05Z,1
UCR3EUXcrrspTA-7rZgU4qow,Nice brother,2026-03-24T14:23:04Z,1
UCAP93o_q4cUQc7xSnwK5rkg,Old mr beast is back,2026-03-24T14:22:47Z,0
UCs-Rfcg_TYVZ1EBbCpaJ5BQ,Invite me❤,2026-03-24T14:22:35Z,1
UCkNy1nAq14UEk5W9ZhfkVKQ,10:11,2026-03-24T14:22:12Z,0
UCYquXCm6BYwbmYGOO4xCYLA,"Darius was the real MVP of this video, bro carried like a legend 😂🔥",2026-03-24T14:22:03Z,0
UCStlsslODcSql30x_2vHlgg,Hey Mr Beast I got 10 people to subscribe for you,2026-03-24T14:21:53Z,1
UCW2l89HfTWvVLjWl01XrDFg,Biggest fan from india ❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,2026-03-24T14:21:24Z,1
UCiKiBQTMPfldy62waONjTVQ,Plz keep darrius,2026-03-24T14:20:41Z,0
UCaXX5FKTA-r6470gBuOR5aA,"Can you do a video with me, please?",2026-03-24T14:20:31Z,1
UChAjXhzZGX5cH4IKrc8zyhg,"Recently I have intuitively locked in my frequency to of 234Hz and felt a cooling effect , 

Found that my intermolecular force in dna have increased , giving raise to steady voltage and a condition met which changed my action of body to of cooling generator.
The heat accumulated over in my have slowly dissapitated. 

I have analyzed that the mathematical grids of my body have actually made a change in integration of the producted dimensions in the process of differentiation .

I have understood that some condition have met which could be the position of the crucial producted dimension that could have made .",2026-03-24T14:19:45Z,1
UC7xthYwJllDKd9Tz1MUv_Pw,Yes,2026-03-24T14:19:36Z,1
UCjHK_wViMdEep21BvB7gdUg,"the worst mistake y'all made is not rowing in unity, same time, same direction, and trying to do same power each too...",2026-03-24T14:18:36Z,0
UC1P7eJ3GTHmvzzk2sGS2BVg,I have watched this video more than 5 times and i have learnt allot in life in it .. keep the good job going mrbeast,2026-03-24T14:18:33Z,0
UCgUfrZrTpBrn5hjQLQGA56A,"╔═╦╗╔╦╗╔═╦═╦╦╦╦╗╔═╗
║╚╣║║║╚╣╚╣╔╣╔╣║╚╣═╣ 
╠╗║╚╝║║╠╗║╚╣║║║║║═╣
╚═╩══╩═╩═╩═╩╝╚╩═╩═╝",2026-03-24T14:18:22Z,1
UCHXHhcRAm0ulyQZLw3JnMFA,Lame,2026-03-24T14:18:15Z,1
UCdQuzqHnwKmCz8_AUtTzJmQ,Yesss,2026-03-24T14:18:15Z,1
UClg1Vdu8WyolKvjblGE5Lxw,I am mister bist  big farnd,2026-03-24T14:17:52Z,1
UC3b8wqeZWs_LWkTbkNoYCKA,A white guy is forcing a black guy to work for him. I have seen this beforeeeeeeee.,2026-03-24T14:17:14Z,0
UCO4JBUEwT1YCwoKSP_UkVIw,Thank you mr beast. My sisters tryed testable bar in Bangladesh,2026-03-24T14:17:10Z,1
UCJmx7dSWqr-b8Q2A_S2wszQ,"We want Darius with you always, mrBeast",2026-03-24T14:16:29Z,0
UC8VfO0ou_iY_mwqhBUAJ-7A,you guys should hire an ex scout or something....,2026-03-24T14:16:05Z,0
UCeXES5e6Qr1XirA4S8-Zx7A,"For over 5 years since 2020, I've been praying that God invites me to participate in a video with MrBeast and he rewards me with money to help my father. I hope you come to Egypt and we shoot a video together.",2026-03-24T14:15:28Z,1
UCeXES5e6Qr1XirA4S8-Zx7A,"For over 5 years since 2020, I've been praying that God invites me to participate in a video with MrBeast and he rewards me with money to help my father. I hope you come to Egypt and we shoot a video together.",2026-03-24T14:15:18Z,1
UCeXES5e6Qr1XirA4S8-Zx7A,"For over 5 years since 2020, I've been praying that God invites me to participate in a video with MrBeast and he rewards me with money to help my father. I hope you come to Egypt and we shoot a video together.",2026-03-24T14:15:12Z,1
UCaSiJIum4hH9fl9ru6xedhQ,Yes,2026-03-24T14:15:10Z,1
UC3fojGA9HWBBQb2zU1cGLtA,Derius the goat 🔥,2026-03-24T14:15:02Z,0
UCeXES5e6Qr1XirA4S8-Zx7A,"For over 5 years since 2020, I've been praying that God invites me to participate in a video with MrBeast and he rewards me with money to help my father. I hope you come to Egypt and we shoot a video together.",2026-03-24T14:15:02Z,1
UCeXES5e6Qr1XirA4S8-Zx7A,"For over 5 years since 2020, I've been praying that God invites me to participate in a video with MrBeast and he rewards me with money to help my father. I hope you come to Egypt and we shoot a video together.",2026-03-24T14:14:54Z,1
UCeXES5e6Qr1XirA4S8-Zx7A,"For over 5 years since 2020, I've been praying that God invites me to participate in a video with MrBeast and he rewards me with money to help my father. I hope you come to Egypt and we shoot a video together.",2026-03-24T14:14:47Z,1
UCeXES5e6Qr1XirA4S8-Zx7A,"For over 5 years since 2020, I've been praying that God invites me to participate in a video with MrBeast and he rewards me with money to help my father. I hope you come to Egypt and we shoot a video together.",2026-03-24T14:14:33Z,1
UCcwreks0PxuaVC3pvW8AGQQ,Free Palestine 🇵🇸,2026-03-24T14:14:25Z,1
UC3wvmFahtJtwkVDirPjxZ9g,Millions watch. Few question. The algorithm approves.,2026-03-24T14:14:06Z,0
UCQg65qccgpYckXDO89xkQIg,If darius was helping who was recording them all of them?,2026-03-24T14:14:02Z,0
UCL9ofGAuY48eYstd30ozFqQ,Yes,2026-03-24T14:13:39Z,1
UCeXES5e6Qr1XirA4S8-Zx7A,"For over 5 years since 2020, I've been praying that God invites me to participate in a video with MrBeast and he rewards me with money to help my father. I hope you come to Egypt and we shoot a video together.",2026-03-24T14:13:30Z,0
UCkhBWPvb3pYaDMmFAJGi9CQ,I am your very big fan jimmy sir,2026-03-24T14:13:23Z,0
UCPGoanxEaD7rCkuSd92Qdsg,👣👣🗣👤🫂👨‍❤️‍👨,2026-03-24T14:13:17Z,1
UCAr_GCzi7TmA7y7AIWYFNVg,Do more challenges and pick me in next challenge,2026-03-24T14:13:07Z,0
UCPGoanxEaD7rCkuSd92Qdsg,Gugu gaga,2026-03-24T14:13:01Z,0
UCV4qNsf4TWOZl-FVh5jqjUA,I hope this isn't the Epsh (coughs 2 times)?,2026-03-24T14:12:29Z,0
UClZZ3cUQjZGSuAvG_N_HhKg,Hi Jimmy,2026-03-24T14:12:09Z,1
UC_PSrgfGGwZuksXeCnDupbg,MRBEAST STOP PLAYING ROBLOX SO ROBLOX BRING BACK CHAT OK,2026-03-24T14:11:59Z,0
UC2w_HQpOtK6YwdyqZHCWm6w,Nepal❤❤,2026-03-24T14:11:50Z,1
UClw6DJurGtncyeRdyXFOVvw,LOVE FROM BANGLADESH ❤🇧🇩🇧🇩🇧🇩,2026-03-24T14:11:47Z,0
UCTiv26lPNeedzPAZBkTAfwg,😂,2026-03-24T14:11:20Z,1
UCYSV4pnbw_sMDu1sF6wIvLA,Darius is a legend of this life.,2026-03-24T14:11:15Z,0
UCIBpqKjO-ATisRM1Dts96fQ,Darius Aura Farming bro MVP he need to be in more videos Mr Beast<>!,2026-03-24T14:11:07Z,0
UCwUgCcw1lD2WBH16Yi6rZ8A,How is 5 days when 30 minutes is video,2026-03-24T14:11:00Z,0
UCgtHBUV-0h5eenVdju7JlPg,Are you crazy,2026-03-24T14:10:44Z,1
UCceOEr6BvFdOFY0j9PejCWA,This is how i felt in school every time,2026-03-24T14:10:20Z,0
UCmIDNePYibl7CtcioGaYZoA,❤,2026-03-24T14:10:07Z,1
UCvV3HNO8la2ZXk9TGfwAZJA,My my! how convenient there were floatable blue barrels buried across the island and 'bamboo's' too. Truly a test of survival!,2026-03-24T14:09:56Z,0
UC8hB-kFs4ieOTnvZfwU83ig,someone did this,2026-03-24T14:09:49Z,1
UC09giKCcbxS9C1dxqSUNePA,@mrbeast i need money for married 😢😢😢 $50.000 🥲🥲🥲,2026-03-24T14:09:47Z,1
UCkxsuIxM2m4dL9NLafafKAA,It'd be nice to have a video challenge with just Jimmy.,2026-03-24T14:09:17Z,0
UCu7KqIwsEfP27u1KxhPM_jw,😢,2026-03-24T14:09:07Z,1
UC_pPl2J2hsaYYP-3ZRj9shg,No video,2026-03-24T14:09:04Z,1
UCfkexzIlczHKxEzIVQEDavg,cool,2026-03-24T14:08:48Z,1
UCIBpqKjO-ATisRM1Dts96fQ,I would not breath until Mr Beast does not reply my coment. 😮‍💨,2026-03-24T14:08:34Z,0
UCYliVEOfOYSu5upHTc0ltQg,"If Mr.Beast offered the team $1m once they complete the challenge, it would be completed in no time.",2026-03-24T14:08:08Z,0
UC9gvyySHOgtwdpuXWdJcp7g,"I felt greatly that the mechs gon get him 
-babft player-",2026-03-24T14:07:41Z,1
UCuh1EhXBLkauthtFOQWnFmg,sound Mrbeast Indonesia has changed (voice over)😢,2026-03-24T14:07:23Z,0
UCWZ1nFFLMvMYSm2RHEJny4g,"Is it just me, or is it Yegorik's idea",2026-03-24T14:07:19Z,0
UCHihfjqK-83FGJeZv7I4mrw,Beast today is my birthday can you gift me a ASUS rog,2026-03-24T14:07:08Z,1
UC5ggynRuJow6jfmavGEqNCQ,uzbek,2026-03-24T14:06:28Z,1
UCeBdcNKUJAD-yAWZ7gZYbRQ,"╔═╦╗╔╦╗╔═╦═╦╦╦╦╗╔═╗
║╚╣║║║╚╣╚╣╔╣╔╣║╚╣═╣ 
╠╗║╚╝║║╠╗║╚╣║║║║║═╣
╚═╩══╩═╩═╩═╩╝╚╩═╩═╝",2026-03-24T14:06:28Z,1
UCqlVcbOiKXu8n6JDrpq3HXA,Very nice mr beast,2026-03-24T14:06:09Z,1
UC-p76JGpG2-o1nN229iprPA,"God willing, you will succeed next time. Failure is the foundation of success. I love you, Mr. Best. Your brother in faith from Yemen.",2026-03-24T14:06:08Z,0
UCe51J2lW-sySobKL3QITmYw,The Indonesian dubbing is not as energetic and good as the previous one. The previous one is better and more suitable,2026-03-24T14:05:51Z,0
UC7iZxskEt03JBfLdhsSt2GA,❤❤❤🎉🎉🎉,2026-03-24T14:05:49Z,1
UCg_vPBCS1AtyKsy4uGApZeA,IDK IF YOU NOTICED BUT YOU AT 472M SUBCRIBERS NOW!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,2026-03-24T14:05:31Z,0
UCz9AquFvqPZeGhxhVV81zZw,greeat video,2026-03-24T14:05:08Z,1
UCV_-VtcPaasP8v7XXz9k4Jw,This deserves way more views! 📈,2026-03-24T14:05:04Z,1
UCPBM38Ht3wXq3OpHKBhYLfA,Thailand 40 degrees,2026-03-24T14:04:36Z,1
UCV_-VtcPaasP8v7XXz9k4Jw,My little brother watches this 10 times a day! So good! 🔥,2026-03-24T14:04:28Z,0
UCrFCFM3eQ0Bb4riDZgCGNkQ,wow,2026-03-24T14:04:17Z,1
UCGunUAKqiBR_OOVn0wSbucw,Miss Nolan's old Indonesian voice 🇮🇩,2026-03-24T14:04:12Z,0
UCfyzCdij0U4DkGwLtw8VYqw,You Will never Know Why this comment is The most Liked Comment in the History of YouTube!,2026-03-24T14:04:05Z,1
UCXnbTqK7SE5uxOmUX6PCbuQ,)🇦🇪🇦🇪🇧🇩🇧🇩🇧🇩🇧🇩🇧🇩🇧🇩🇧🇩🇧🇩🇧🇩🇧🇩🇧🇩🇧🇩🇧🇩🇧🇩🇧🇩🇧🇩🇧🇩🇧🇩🇧🇩🇧🇩🇧🇩🇧🇩🇧🇩🇧🇩🇧🇩🇧🇩🇧🇩🇧🇩🇧🇩,2026-03-24T14:03:59Z,1
UCzkGO83nmR8U2_OaLsHWq7A,Yes,2026-03-24T14:03:51Z,1
UCaPs37DF9oqAnvufDtZDJTg,Kristina tyson touched me,2026-03-24T14:03:37Z,0
UC4LGYBtJ4fpTT8yJyiAAvTA,Helpme🔔🔔🔔,2026-03-24T14:03:33Z,1
UC02Z-RYZl4Yoq0qs4rpPsWg,Indonesian sounds better before than now,2026-03-24T14:03:06Z,0
UC8R14LBSUxNQqiEZ0bUPUSg,❤❤❤,2026-03-24T14:02:40Z,1
UC0bDNhjlORQhwr-1emHb1Vg,"Darius promotion! no more cameraman, bro is the strong hand of Beast",2026-03-24T14:02:36Z,0
UCaPs37DF9oqAnvufDtZDJTg,"Mr. I really like you, I have a body doll of you made out of hair I collected from your sets, I would love to go swimming with you in my pool with my grandma. We watch your videos together before tickle time, We would love to have you over, we can practice hugging😜🦶🦶🦶",2026-03-24T14:02:33Z,0
UC8R14LBSUxNQqiEZ0bUPUSg,Hi Bangladesh 🇧🇩🇧🇩🇧🇩🇧🇩,2026-03-24T14:02:20Z,1
UCBkICl3prWvTzASaJ1Hn_aQ,"This is the MrBeast I fell in love with. Please include you and your friends more, because that's what so many OGs adore",2026-03-24T14:02:02Z,0
UC3dD0a_6nnbXWcbz6oFVxmw,❤❤❤,2026-03-24T14:01:48Z,1
UCNy5OmC8wZE8U0YihgwZzqA,Darius solo,2026-03-24T14:01:12Z,0
UCxS_1IsRjPY43jW_SQIX39w,Hii mr beast sir i need some money❤,2026-03-24T14:01:10Z,0
UCYaHJA8z91MhFgPJYhq9yHg,When you do another video like this you need more people like Darius with you,2026-03-24T14:00:59Z,0
UC5u9WaxZFJzJs6GxG88HAYw,👍,2026-03-24T13:59:40Z,1
UChKX-Pn_U_i5D7bApK2Nndg,"Hello Mr. Beast, I like your videos. I don't speak English, I'm learning.❤😮",2026-03-24T13:59:40Z,0
UCvLGWfEUKXOJJMv63ZE_OIA,Yes,2026-03-24T13:59:39Z,1
UCDABczd7fU4RrTFx35f4Nkw,Fans from indonesia❤❤❤,2026-03-24T13:59:21Z,0
UCLtTCUwm_5h8gMi9CLp-zPg,Yep❤,2026-03-24T13:59:12Z,1
UCLXLaqLwzcT3e55E-sjXiew,Mission Failed😢,2026-03-24T13:59:03Z,1
UCn3V4G0g7djfPT_u7Sp47xg,❤❤,2026-03-24T13:57:46Z,1
UCwQdNElIfc_xFYLgNPDttKw,Bring darrius again plss,2026-03-24T13:57:38Z,0
UCyZvewuSOikKNwV2_aBYMmw,The new guy pls make more video and the camera man need a bonus,2026-03-24T13:57:14Z,0
UCL7F2A3Jd_OpPADmINUSNUw,Good work Darrius,2026-03-24T13:57:10Z,0
UCZj_YyFNVVNBrkpXJPQWhrA,I'm big fan you Mr beast 💓,2026-03-24T13:57:08Z,0
UCXE1BvZrA3j3Aw13pROdWgw,Ed staford,2026-03-24T13:57:06Z,1
UCWHP1owpIxEu0KVbPixY72Q,Kannada please 🙏 😢,2026-03-24T13:56:49Z,1
UC3wvmFahtJtwkVDirPjxZ9g,Entertainment at scale. Meaning at what cost?,2026-03-24T13:56:08Z,1
UCcN-jinAb2tarb6V06RVO2g,Where is Tariq ❓❓❓,2026-03-24T13:55:37Z,1
UCE0u7nD_znY0qC5OGCzDxYQ,I love how everyone is praising farious he did so much for the group ❤,2026-03-24T13:55:31Z,0
UCgySyk0qvxYjvmNHb5FdcKQ,I like it Mrbeast ❤,2026-03-24T13:55:28Z,0
UCqgFZA6-JUw6B6vh5AdzFpw,Mr Bean if you let me in one of your challenge that will be my great dream for me,2026-03-24T13:54:34Z,0
UCyVPI6FNRyiskCmEz8-Y4kA,Why is Mr. Beast's voice different?,2026-03-24T13:54:27Z,0
UCuokpiPn73Qe-QKGCmHCE7g,epstin island ???,2026-03-24T13:54:18Z,1
UCMEwcQbMVK6eDR8V9PGeXNA,"Jimmy, make a Lego city or a Lego swimming pool in your next video. It would be cool to see that. If you agree, give it a like)",2026-03-24T13:54:06Z,0
UCqgFZA6-JUw6B6vh5AdzFpw,Mr beast I am your big fan please I want to be in the beast game,2026-03-24T13:54:02Z,0
UCxxeShl1xjgcUTNj668TkAA,Hii mr beast I want to meet you 🥺❤️‍🩹,2026-03-24T13:53:48Z,0
UCZj_YyFNVVNBrkpXJPQWhrA,Hi,2026-03-24T13:53:31Z,1
UCXHJ9Di0aQwfeMmJQL_6mEw,Yes,2026-03-24T13:53:29Z,1
UCqgFZA6-JUw6B6vh5AdzFpw,Hi Mr beast,2026-03-24T13:53:11Z,0
UCl2_uiEFkrkR0H_1K5ceuXw,❤❤❤❤❤❤🎉🎉🎉🎉,2026-03-24T13:53:07Z,1
